date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,2945,146,1286,12893,13281.12
2017-11-29,3210,120,1388,13601,13222.970000000001
2017-11-30,2899,133,1315,15162,12941.5
2017-12-01,2439,96,1220,11633,9163.07
2017-12-02,368,29,261,3098,1263.28
2017-12-03,1888,87,964,8096,6229.110000000001
2017-12-04,2675,102,1297,11169,12189.79
2017-12-05,2276,152,1148,11885,8892.27
2017-12-06,2407,92,1285,9984,10886.990000000002
2017-12-07,2400,113,1190,11564,10651.380000000001
2017-12-08,1532,114,873,7892,4864.07
2017-12-09,0,0,0,0,0.0
2017-12-10,1678,71,935,7685,4568.2
2017-12-11,3840,103,1561,14825,19097.67
2017-12-12,1882,106,995,10280,9518.670000000002
2017-12-13,3134,98,1409,13684,15610.17
2017-12-14,1940,153,1061,9326,6003.74
2017-12-15,1723,63,1008,6529,9560.02
2017-12-16,0,0,0,0,0.0
2017-12-17,573,37,418,3381,1811.51
2017-12-18,575,48,426,2469,2650.71
2017-12-19,1895,65,1020,4183,13254.54
2017-12-20,322,23,284,1075,1580.29
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,635,40,494,2914,1936.26
2018-01-02,932,40,631,5574,3061.2700000000004
2018-01-03,293,14,249,1973,965.85
2018-01-04,842,74,583,6095,2777.0200000000004
2018-01-05,531,39,379,3791,1893.67
2018-01-06,0,0,0,0,0.0
2018-01-07,676,36,475,4464,1969.56
2018-01-08,2594,52,1048,7889,12781.809999999998
2018-01-09,996,39,725,4743,3535.13
2018-01-10,1541,40,884,4984,7670.26
2018-01-11,2137,79,1019,8900,11974.440000000002
2018-01-12,550,42,373,3659,1699.27
2018-01-13,0,0,0,0,0.0
2018-01-14,1116,41,684,5700,3438.31
2018-01-15,1875,44,990,5903,8679.83
2018-01-16,1639,44,990,7538,7036.981
2018-01-17,1198,65,803,4971,4729.54
2018-01-18,1070,60,688,5791,3402.0600000000004
2018-01-19,1160,40,743,5487,5207.34
2018-01-20,0,0,0,0,0.0
2018-01-21,1231,51,685,5560,3918.16
2018-01-22,1642,61,898,7320,6752.71
2018-01-23,1312,91,756,5670,12331.51
2018-01-24,1430,69,829,6816,6081.76
2018-01-25,1171,67,715,7207,3580.92
2018-01-26,1198,72,708,6156,23937.591000000004
2018-01-27,0,0,0,0,0.0
2018-01-28,1244,53,723,6146,3462.62
2018-01-29,1251,65,791,5158,5286.950999999999
