date,purchases,unique_invoices,unique_streams,total_views,revenue
2017-11-28,3215,158,1340,15018,14450.54
2017-11-29,3270,128,1396,14110,13411.960000000001
2017-11-30,2990,139,1332,15685,13290.25
2017-12-01,2555,103,1255,12505,9687.28
2017-12-02,400,30,285,3310,1443.26
2017-12-03,1942,90,977,8544,6432.9400000000005
2017-12-04,2860,115,1350,12718,13137.5
2017-12-05,2433,165,1193,12583,9467.01
2017-12-06,2454,98,1301,10423,11268.54
2017-12-07,2489,120,1227,11977,10976.6
2017-12-08,1539,118,874,7912,4898.32
2017-12-09,0,0,0,0,0.0
2017-12-10,1776,77,980,8521,4982.87
2017-12-11,4106,112,1589,16997,19866.98
2017-12-12,1990,110,1027,11076,10012.130000000001
2017-12-13,3213,103,1421,14275,15879.66
2017-12-14,1961,158,1066,9485,7701.580000000001
2017-12-15,2048,76,1120,8945,10970.560000000001
2017-12-16,0,0,0,0,0.0
2017-12-17,637,40,468,4013,1964.7900000000002
2017-12-18,644,51,466,3208,2846.58
2017-12-19,1916,66,1030,4345,13350.099999999999
2017-12-20,534,26,375,3014,2268.31
2017-12-21,0,0,0,0,0.0
2017-12-22,0,0,0,0,0.0
2017-12-23,0,0,0,0,0.0
2017-12-24,0,0,0,0,0.0
2017-12-25,0,0,0,0,0.0
2017-12-26,0,0,0,0,0.0
2017-12-27,0,0,0,0,0.0
2017-12-28,0,0,0,0,0.0
2017-12-29,0,0,0,0,0.0
2017-12-30,0,0,0,0,0.0
2017-12-31,0,0,0,0,0.0
2018-01-01,640,42,495,2926,1966.5500000000002
2018-01-02,932,40,631,5574,3061.2700000000004
2018-01-03,293,14,249,1973,965.85
2018-01-04,1061,83,692,8486,3373.1600000000003
2018-01-05,716,47,503,5451,4979.93
2018-01-06,0,0,0,0,0.0
2018-01-07,704,37,489,4702,2080.1000000000004
2018-01-08,2677,63,1073,8640,14429.4
2018-01-09,1086,44,770,5615,3799.58
2018-01-10,1633,53,919,5656,11600.810000000001
2018-01-11,2226,83,1059,9610,12228.63
2018-01-12,658,50,439,4478,2084.96
2018-01-13,0,0,0,0,0.0
2018-01-14,1116,41,684,5700,3438.31
2018-01-15,1904,46,1005,6081,8908.33
2018-01-16,1859,51,1068,8924,7847.691
2018-01-17,1215,71,804,5138,7021.91
2018-01-18,1203,63,760,7255,3854.6
2018-01-19,1494,51,866,8288,9419.02
2018-01-20,0,0,0,0,0.0
2018-01-21,1271,52,706,5892,4022.2299999999996
2018-01-22,1691,64,913,7670,7017.8099999999995
2018-01-23,1555,135,826,7858,15461.130000000001
2018-01-24,1547,72,881,7587,6385.549999999999
2018-01-25,1243,72,743,7751,3804.14
2018-01-26,1200,73,709,6169,23966.840999999997
2018-01-27,0,0,0,0,0.0
2018-01-28,1400,58,796,7490,3953.56
2018-01-29,1392,76,838,6310,7421.111000000001
2018-01-30,1176,59,743,7140,4616.530000000001
2018-01-31,1457,56,860,6996,5971.3910000000005
2018-02-01,1513,66,820,8069,4837.9
2018-02-02,997,67,631,5354,4328.16
2018-02-03,0,0,0,0,0.0
2018-02-04,844,35,558,3803,2310.46
2018-02-05,1365,67,784,6598,6838.370000000001
2018-02-06,1057,57,669,6954,3607.21
2018-02-07,883,37,627,2971,4111.6900000000005
2018-02-08,833,63,518,4691,2901.1500000000005
2018-02-09,787,38,577,3993,3009.9700000000003
2018-02-10,0,0,0,0,0.0
2018-02-11,1194,51,710,6478,3554.9900000000002
2018-02-12,894,50,568,6950,5680.741
